codigo,categoria,unidad,descripcion_corta,descripcion_detallada,mano_de_obra,maquinaria,materiales_y_otros,precio_total,tags,tipo,fecha
E21ABA050,BAÑERAS,ud,BAÑ.ACRILICA 170x75 G.MMDO. ODEÓN COL.,"Bañera acrílica de 170x75 cm. en color con pies regulables, mod. Odeón de Jacob Delafon con grifería cromada mezcladora exterior monomando mural mod. JD97 Jacob Delafon, con inversor automático baño-ducha, ducha teléfono, flexible de 170 cm. y soporte articulado, incluso desagüe con rebosadero, de salida vertical, de 40 mm., instalado y funcionando.",15.61,0.0,390.7,406.31,"inversor, flexible, desagüe, ducha, monomando, grifería, rebosadero, cromado, bañera, mural, pie, exterior, articulación, automático, color, instalación, soporte, vertical, acrílico, salida, teléfono, regulación, mezcla, ",Partida,2000-01-31
E21ABC#,ACRÍLICAS,,DE CHAPA DE ACERO,DE CHAPA DE ACERO,0.0,0.0,0.0,0.0,"chapa, acero, ",Capítulo,2000-01-31
E21ABC010,ACRÍLICAS,ud,BAÑ.ACERO 170x75 COL.G.MMDO.,"Bañera de chapa de acero esmaltado, de 170x75 cm., en color, con fondo antideslizante insonorizado y asas doradas, con grifería mezcladora exterior monomando, con inversor baño-ducha, ducha teléfono, flexible de 170 cm. y soporte articulado en color mod. Ergos de RamonSoler, incluso desagüe con rebosadero, de salida horizontal, de 40 mm., instalada y funcionando.",15.61,0.0,320.86,336.47,"mezcla, grifería, desagüe, insonorización, ducha, dorado, inversor, rebosadero, monomando, bañera, asa, flexible, teléfono, color, instalación, soporte, acero, articulación, exterior, esmalte, horizontal, chapa, salida, ",Partida,2000-01-31
E21ABC015,ACRÍLICAS,ud,BAÑ.ACERO 170x75 BLA.G.MMDO.,"Bañera de chapa de acero esmaltado, de 170x75 cm., blanca, con fondo antideslizante insonorizado y asas doradas, con grifería mezcladora exterior monomando, con inversor baño-ducha, ducha teléfono, flexible de 170 cm. y soporte articulado en blanco, incluso desagüe con rebosadero, de salida horizontal, de 40 mm., instalada y funcionando.",15.61,0.0,229.28,244.89,"inversor, dorado, asa, ducha, insonorización, desagüe, flexible, monomando, bañera, grifería, teléfono, horizontal, rebosadero, instalación, esmalte, exterior, articulación, chapa, soporte, mezcla, salida, acero, blanco, ",Partida,2000-01-31
E21ABC020,ACRÍLICAS,ud,BAÑ.ACERO 160x75 COL.G.MMDO.,"Bañera de chapa de acero esmaltado, de 160x75 cm., en color, con fondo antideslizante insonorizado y asas doradas, con grifería mezcladora exterior monomando, con inversor automático baño-ducha, ducha teléfono, flexible de 170 cm. y soporte articulado, cromada, incluso desagüe con rebosadero, de salida horizontal, de 40 mm., instalada y funcionando.",15.61,0.0,258.18,273.79,"desagüe, bañera, rebosadero, monomando, cromado, dorado, grifería, flexible, insonorización, asa, automático, exterior, ducha, esmalte, salida, inversor, horizontal, articulación, chapa, acero, instalación, mezcla, color, soporte, teléfono, ",Partida,2000-01-31
E21ABC030,ACRÍLICAS,ud,BAÑ.ACERO 160x75 BLA.G.MMDO.,"Bañera de chapa de acero esmaltado, de 160x75 cm., blanca, con fondo antideslizante insonorizado y asas cromadas, con grifería mezcladora exterior monomando, con inversor baño-ducha, ducha teléfono, flexible de 170 cm. y soporte articulado cromado, incluso desagüe con rebosadero, de salida vertical, de 40 mm., instalada y funcionando.",15.61,0.0,189.26,204.87,"rebosadero, cromado, bañera, asa, insonorización, inversor, ducha, desagüe, flexible, mezcla, vertical, monomando, salida, instalación, esmalte, exterior, blanco, teléfono, chapa, articulación, soporte, grifería, acero, ",Partida,2000-01-31
E21ABC032,ACRÍLICAS,ud,BAÑ.ACERO 170x70 COL.MOD.PREVIRA II,"Bañera de chapa de acero esmaltado, de 170x70 cm., en color con fondo antideslizante mod. Previra II de Jacob Delafon, con grifería mezcladora exterior monomando, con inversor baño-ducha, ducha teléfono, flexible de 170 cm. y soporte articulado, cromada mod. Clip, incluso desagüe con rebosadero, de salida horizontal, de 40 mm., instalada y funcionando.",15.61,0.0,211.27,226.88,"flexible, monomando, teléfono, inversor, cromado, grifería, mezcla, desagüe, salida, bañera, ducha, esmalte, rebosadero, horizontal, exterior, articulación, acero, soporte, clip, color, instalación, chapa, ",Partida,2000-01-31
E21ABC033,ACRÍLICAS,ud,BAÑ.ACERO 170x70 BLA.MOD.PREVIRA II,"Bañera de chapa de acero esmaltado, de 170x70 cm., blanca con fondo antideslizante mod. Previra II de Jacob Delafon, con grifería mezcladora exterior monomando, mod. Clip, con inversor baño-ducha, ducha teléfono, flexible de 170 cm. y soporte articulado, incluso desagüe con rebosadero, de salida horizontal, de 40 mm., instalada y funcionando.",15.61,0.0,175.1,190.71,"salida, instalación, monomando, bañera, mezcla, flexible, desagüe, ducha, grifería, rebosadero, clip, teléfono, blanco, esmalte, exterior, articulación, chapa, acero, soporte, horizontal, inversor, ",Partida,2000-01-31
E21ABC035,ACRÍLICAS,ud,BAÑ.ACERO 170x70 COL.N.EUROPA,"Bañera de chapa de acero esmaltado, de 170x70 cm., en color con fondo antideslizante, mod. Nueva Europa de Metalibérica, con grifería mezcladora exterior monomando, con inversor baño-ducha, ducha teléfono, flexible de 170 cm. y soporte articulado, cromada mod. Aquamando-2 de RamonSoler, incluso desagüe con rebosadero, de salida horizontal, de 40 mm., instalada y funcionando.",15.61,0.0,170.13,185.74,"monomando, flexible, desagüe, ducha, grifería, cromado, inversor, bañera, soporte, teléfono, rebosadero, salida, mezcla, Europa, exterior, horizontal, esmalte, articulación, chapa, acero, instalación, color, ",Partida,2000-01-31
E21ABC036,ACRÍLICAS,ud,BAÑ.ACERO 170x70 BLA.N.EUROPA,"Bañera de chapa de acero esmaltado, de 170x70 cm., blanca con fondo antideslizante, mod. Nueva Europa de Metalibérica, con grifería mezcladora exterior monomando, modelo Aquamando-2 de RamonSoler, con inversor baño-ducha, ducha teléfono, flexible de 170 cm. y soporte articulado, incluso desagüe con rebosadero, de salida horizontal, de 40 mm., instalada y funcionando.",15.61,0.0,146.63,162.24,"inversor, desagüe, grifería, monomando, modelo, flexible, mezcla, Europa, ducha, rebosadero, bañera, articulación, soporte, exterior, horizontal, acero, instalación, blanco, teléfono, chapa, salida, esmalte, ",Partida,2000-01-31
